id,title,slug,status,area,city,courseType,address,phone,websiteUrl,reservationUrl,airportAccess,holes,par,summary,features,isBeginnerFriendly,isTouristFriendly,hasPracticeArea,isPartnerCandidate,lastChecked,sourceUrl,memo
ryukyu-golf-club,琉球ゴルフ倶楽部,ryukyu-golf-club,published,南部,南城市,ロングコース,〒901-0608 沖縄県南城市玉城親慶原1,098-948-2460,https://www.ryukyugolf.com/,,車で約35分,27,108,27H Par108 ダイキンオーキッドレディス開催,27H Par108 ダイキンオーキッドレディス開催,FALSE,FALSE,FALSE,FALSE,,https://www.ryukyugolf.com/,
shurei-country-club,守礼カントリークラブ,shurei-country-club,published,南部,南城市,ロングコース,〒901-1305 沖縄県南城市知念字知名1029,098-947-3411,https://www.shurei-cc.com/,,車で約35分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://www.shurei-cc.com/,
bashofu-course,芭蕉布コース,bashofu-course,published,南部,南城市,ミドルコース,〒901-0604 沖縄県南城市玉城字中山1313,098-943-5890,,,車で約35分,18,63,18H Par63,18H Par63,TRUE,FALSE,FALSE,FALSE,,,
naha-golf-club,那覇ゴルフ倶楽部,naha-golf-club,published,南部,八重瀬町,ロングコース,〒901-0402 沖縄県島尻郡八重瀬町字富盛2270,098-998-3311,,,車で約30分,18,72,18H Par72 2012年日本オープン開催,18H Par72 2012年日本オープン開催,FALSE,FALSE,FALSE,FALSE,,,
southern-links-golf-club,ザ・サザンリンクスゴルフクラブ,southern-links-golf-club,published,南部,八重瀬町,ロングコース,〒901-0513 沖縄県島尻郡八重瀬町字玻名城697,098-998-7001,https://www.accordiagolf.com/grand/southernlinks/,,車で約40〜50分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://www.accordiagolf.com/grand/southernlinks/,
palm-hills-golf-resort-club,パームヒルズゴルフリゾートクラブ,palm-hills-golf-resort-club,published,南部,糸満市,ロングコース,〒901-0323 沖縄県糸満市字新垣762,098-994-0002,https://reserve.accordiagolf.com/golfCourse/okinawa/palmhills/,,車で約30〜35分,18,72,18H Par72,18H Par72,FALSE,TRUE,FALSE,FALSE,,https://reserve.accordiagolf.com/golfCourse/okinawa/palmhills/,
nanzan-country-club,南山カントリークラブ,nanzan-country-club,published,南部,糸満市,ミドルコース,〒901-0331 沖縄県糸満市字真栄平1170,098-997-2021,http://www.okinawa-nanzan.com/,,車で約35分,9,34,9H Par34（2周で18H）,9H Par34（2周で18H）,TRUE,FALSE,FALSE,FALSE,,http://www.okinawa-nanzan.com/,
marine-town-golf,マリンタウンゴルフ,marine-town-golf,published,南部,与那原町,ショートコース,〒901-1303 沖縄県島尻郡与那原町字与那原3309,098-945-1040,https://www.mtg-okinawa.jp/,,車で約25分,10,30,10H Par30 ショートコース,10H Par30 ショートコース,TRUE,FALSE,FALSE,FALSE,,https://www.mtg-okinawa.jp/,
okinawa-country-club,沖縄カントリークラブ,okinawa-country-club,published,中部,西原町,ロングコース,〒903-0114 沖縄県中頭郡西原町字桃原109,098-945-3371,https://reserve.accordiagolf.com/golfCourse/okinawa/okinawa/,,車で約25分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://reserve.accordiagolf.com/golfCourse/okinawa/okinawa/,
ocean-castle-country-club,オーシャンキャッスルカントリークラブ,ocean-castle-country-club,published,中部,中城村,ロングコース,〒901-2421 沖縄県中頭郡中城村字登又60,098-935-5500,https://reserve.accordiagolf.com/golfCourse/okinawa/oceancastle/,,車で約40分,18,72,18H Par72 世界遺産・中城城跡に隣接,18H Par72 世界遺産・中城城跡に隣接,FALSE,FALSE,FALSE,FALSE,,https://reserve.accordiagolf.com/golfCourse/okinawa/oceancastle/,
onishi-terrace-golf-club,大西テェラスゴルフクラブ,onishi-terrace-golf-club,published,中部,北中城村,ミドルコース,〒901-2306 沖縄県中頭郡北中城村字大城190,098-935-4300,https://www.otgc.co.jp/,,車で約40分,18,63,18H Par63,18H Par63,TRUE,FALSE,FALSE,FALSE,,https://www.otgc.co.jp/,
em-wellness-resort-golf-course,EMウェルネス リゾートゴルフコース,em-wellness-resort-golf-course,published,中部,北中城村,ミドルコース,〒901-2305 沖縄県中頭郡北中城村字喜舎場1478,098-935-1500,https://www.emwellness-resort.com/,,車で約40分,9,,9H ホテル併設,9H ホテル併設,TRUE,TRUE,FALSE,FALSE,,https://www.emwellness-resort.com/,
