No.,掲載状態,ゴルフ場名,slug,エリア,市町村,種類,ホール数,Par,住所,電話番号,公式サイトURL,予約URL,那覇空港からの所要時間（目安）,特徴,初心者向け,観光客向け,練習場あり,パートナー候補,最終確認日,情報ソース,メモ
1,未確認,琉球ゴルフ倶楽部,ryukyu-golf-club,南部,南城市,ロングコース,27,108,〒901-0608 沖縄県南城市玉城親慶原1,098-948-2460,https://www.ryukyugolf.com/,,車で約35分,27H Par108 ダイキンオーキッドレディス開催,,,,,,https://www.ryukyugolf.com/,
2,未確認,守礼カントリークラブ,shurei-country-club,南部,南城市,ロングコース,18,72,〒901-1305 沖縄県南城市知念字知名1029,098-947-3411,https://www.shurei-cc.com/,,車で約35分,18H Par72,,,,,,https://www.shurei-cc.com/,
3,未確認,芭蕉布コース,bashofu-course,南部,南城市,ミドルコース,18,63,〒901-0604 沖縄県南城市玉城字中山1313,098-943-5890,,,車で約35分,18H Par63,TRUE,,,,,,
4,未確認,那覇ゴルフ倶楽部,naha-golf-club,南部,八重瀬町,ロングコース,18,72,〒901-0402 沖縄県島尻郡八重瀬町字富盛2270,098-998-3311,,,車で約30分,18H Par72 2012年日本オープン開催,,,,,,,
5,未確認,ザ・サザンリンクスゴルフクラブ,southern-links-golf-club,南部,八重瀬町,ロングコース,18,72,〒901-0513 沖縄県島尻郡八重瀬町字玻名城697,098-998-7001,https://www.accordiagolf.com/grand/southernlinks/,,車で約40〜50分,18H Par72,,,,,,https://www.accordiagolf.com/grand/southernlinks/,
6,未確認,パームヒルズゴルフリゾートクラブ,palm-hills-golf-resort-club,南部,糸満市,ロングコース,18,72,〒901-0323 沖縄県糸満市字新垣762,098-994-0002,https://reserve.accordiagolf.com/golfCourse/okinawa/palmhills/,,車で約30〜35分,18H Par72,,TRUE,,,,https://reserve.accordiagolf.com/golfCourse/okinawa/palmhills/,
7,未確認,南山カントリークラブ,nanzan-country-club,南部,糸満市,ミドルコース,9,34,〒901-0331 沖縄県糸満市字真栄平1170,098-997-2021,http://www.okinawa-nanzan.com/,,車で約35分,9H Par34（2周で18H）,TRUE,,,,,http://www.okinawa-nanzan.com/,
8,未確認,マリンタウンゴルフ,marine-town-golf,南部,与那原町,ショートコース,10,30,〒901-1303 沖縄県島尻郡与那原町字与那原3309,098-945-1040,https://www.mtg-okinawa.jp/,,車で約25分,10H Par30 ショートコース,TRUE,,,,,https://www.mtg-okinawa.jp/,
9,未確認,沖縄カントリークラブ,okinawa-country-club,中部,西原町,ロングコース,18,72,〒903-0114 沖縄県中頭郡西原町字桃原109,098-945-3371,https://reserve.accordiagolf.com/golfCourse/okinawa/okinawa/,,車で約25分,18H Par72,,,,,,https://reserve.accordiagolf.com/golfCourse/okinawa/okinawa/,
10,未確認,オーシャンキャッスルカントリークラブ,ocean-castle-country-club,中部,中城村,ロングコース,18,72,〒901-2421 沖縄県中頭郡中城村字登又60,098-935-5500,https://reserve.accordiagolf.com/golfCourse/okinawa/oceancastle/,,車で約40分,18H Par72 世界遺産・中城城跡に隣接,,,,,,https://reserve.accordiagolf.com/golfCourse/okinawa/oceancastle/,
11,未確認,大西テェラスゴルフクラブ,onishi-terrace-golf-club,中部,北中城村,ミドルコース,18,63,〒901-2306 沖縄県中頭郡北中城村字大城190,098-935-4300,https://www.otgc.co.jp/,,車で約40分,18H Par63,TRUE,,,,,https://www.otgc.co.jp/,
12,未確認,EMウェルネス リゾートゴルフコース,em-wellness-resort-golf-course,中部,北中城村,ミドルコース,9,,〒901-2305 沖縄県中頭郡北中城村字喜舎場1478,098-935-1500,https://www.emwellness-resort.com/,,車で約40分,9H ホテル併設,TRUE,TRUE,,,,https://www.emwellness-resort.com/,
13,未確認,沖縄ロイヤルゴルフクラブ,okinawa-royal-golf-club,中部,うるま市,ロングコース,36,,〒904-1113 沖縄県うるま市石川山城1436,098-964-2811,https://okinawaroyal.jp/,,車で約50分,36H（18H×2コース）,,,,,,https://okinawaroyal.jp/,
14,未確認,具志川ゴルフクラブ,gushikawa-golf-club,中部,うるま市,ミドルコース,18,63,〒904-2205 沖縄県うるま市字栄野比50-1,098-974-3223,,,車で約50分,18H Par63,TRUE,,,,,,
15,未確認,パブリックゴルフうらそえ,public-golf-urasoe,中部,浦添市,ショートコース,9,,〒901-2101 沖縄県浦添市西原5丁目51-1,098-877-3513,,,車で約25分,9H ショートコース,TRUE,,,,,,
16,未確認,西原グリーンセンター,nishihara-green-center,中部,西原町,ショートコース,9,27,〒903-0104 沖縄県中頭郡西原町字内間546,098-945-5456,,,車で約25〜30分,9H Par27 全Par3 レンジ24時間営業,TRUE,,TRUE,,,,
17,未確認,クイーンズトラップゴルフコース,queens-trap-golf-course,中部,読谷村,ミドルコース,9,36,〒904-0300 沖縄県中頭郡読谷村字牧原254,098-921-5577,,,車で約50分,9H Par36（2周で18H）Par4あり,TRUE,,,,,,
18,未確認,残波ゴルフクラブ,zanpa-golf-club,中部,読谷村,ミドルコース,18,63,〒904-0301 沖縄県中頭郡読谷村字宇座1133,098-958-1938,,,車で約50分,18H Par63,TRUE,,,,,,
19,未確認,TAIYO GOLF CLUB（タイヨーゴルフクラブ）,taiyo-golf-club,中部,沖縄市,ロングコース,18,72,沖縄県沖縄市池原（キャンプ・フォスター内）,098-954-2004,https://www.mccsokinawa.com/,,車で約40分,18H Par72 米軍基地内・民間人利用可,,,,,,https://www.mccsokinawa.com/,
20,未確認,知花ゴルフコース（チバナ）,chibana-golf-course,中部,沖縄市,ショートコース,9,3,〒904-2144 沖縄県沖縄市知花4-1-3,098-938-6063,https://www.mccsokinawa.com/,,車で約40分,9H Par3のみ 米軍基地内・民間人利用可,TRUE,,,,,https://www.mccsokinawa.com/,
21,未確認,カデナ バンヤンツリーゴルフコース,kadena-banyan-tree-golf-course,中部,嘉手納町,ロングコース,18,72,沖縄県中頭郡嘉手納町（嘉手納空軍基地内）,,https://www.mccsokinawa.com/,,車で約40分,18H Par72 米軍基地内・エスコート要 1960年開場（沖縄最古）,,,,,,https://www.mccsokinawa.com/,
22,未確認,PGMゴルフリゾート沖縄【GRAND PGM】,pgm-golf-resort-okinawa,北部,恩納村,ロングコース,27,108,〒904-0413 沖縄県国頭郡恩納村字冨着1043,098-965-1100,https://www.pacificgolf.co.jp/okinawa/,,車で約60分,27H Par108 HEIWA・PGM CHAMPIONSHIP開催,,TRUE,,,,https://www.pacificgolf.co.jp/okinawa/,
23,未確認,ジ・アッタテラス ゴルフリゾート,atta-terrace-golf-resort,北部,恩納村,ロングコース,18,72,〒904-0402 沖縄県国頭郡恩納村安富祖1079,098-967-8554,https://www.terrace.co.jp/atta/,,車で約60分,18H Par72,,TRUE,,,,https://www.terrace.co.jp/atta/,
