name,slug,type,status,area,address,phone,website,summary,airportAccess,gallery,city,facilityType,holes,par,reservationUrl,features
琉球ゴルフ倶楽部,ryukyu-golf-club,golf_course,published,南部,〒901-0608 沖縄県南城市玉城親慶原1,098-948-2460,https://www.ryukyugolf.com/,27H Par108 ダイキンオーキッドレディス開催,車で約35分,,南城市,ロングコース,27,108,,27H Par108 ダイキンオーキッドレディス開催
守礼カントリークラブ,shurei-country-club,golf_course,published,南部,〒901-1305 沖縄県南城市知念字知名1029,098-947-3411,https://www.shurei-cc.com/,18H Par72,車で約35分,,南城市,ロングコース,18,72,,18H Par72
芭蕉布コース,bashofu-course,golf_course,published,南部,〒901-0604 沖縄県南城市玉城字中山1313,098-943-5890,,18H Par63,車で約35分,,南城市,ミドルコース,18,63,,18H Par63
那覇ゴルフ倶楽部,naha-golf-club,golf_course,published,南部,〒901-0402 沖縄県島尻郡八重瀬町字富盛2270,098-998-3311,,18H Par72 2012年日本オープン開催,車で約30分,,八重瀬町,ロングコース,18,72,,18H Par72 2012年日本オープン開催
ザ・サザンリンクスゴルフクラブ,southern-links-golf-club,golf_course,published,南部,〒901-0513 沖縄県島尻郡八重瀬町字玻名城697,098-998-7001,https://www.accordiagolf.com/grand/southernlinks/,18H Par72,車で約40〜50分,,八重瀬町,ロングコース,18,72,,18H Par72
パームヒルズゴルフリゾートクラブ,palm-hills-golf-resort-club,golf_course,published,南部,〒901-0323 沖縄県糸満市字新垣762,098-994-0002,https://reserve.accordiagolf.com/golfCourse/okinawa/palmhills/,18H Par72,車で約30〜35分,,糸満市,ロングコース,18,72,,18H Par72
南山カントリークラブ,nanzan-country-club,golf_course,published,南部,〒901-0331 沖縄県糸満市字真栄平1170,098-997-2021,http://www.okinawa-nanzan.com/,9H Par34（2周で18H）,車で約35分,,糸満市,ミドルコース,9,34,,9H Par34（2周で18H）
マリンタウンゴルフ,marine-town-golf,golf_course,published,南部,〒901-1303 沖縄県島尻郡与那原町字与那原3309,098-945-1040,https://www.mtg-okinawa.jp/,10H Par30 ショートコース,車で約25分,,与那原町,ショートコース,10,30,,10H Par30 ショートコース
沖縄カントリークラブ,okinawa-country-club,golf_course,published,中部,〒903-0114 沖縄県中頭郡西原町字桃原109,098-945-3371,https://reserve.accordiagolf.com/golfCourse/okinawa/okinawa/,18H Par72,車で約25分,,西原町,ロングコース,18,72,,18H Par72
オーシャンキャッスルカントリークラブ,ocean-castle-country-club,golf_course,published,中部,〒901-2421 沖縄県中頭郡中城村字登又60,098-935-5500,https://reserve.accordiagolf.com/golfCourse/okinawa/oceancastle/,18H Par72 世界遺産・中城城跡に隣接,車で約40分,,中城村,ロングコース,18,72,,18H Par72 世界遺産・中城城跡に隣接
大西テェラスゴルフクラブ,onishi-terrace-golf-club,golf_course,published,中部,〒901-2306 沖縄県中頭郡北中城村字大城190,098-935-4300,https://www.otgc.co.jp/,18H Par63,車で約40分,,北中城村,ミドルコース,18,63,,18H Par63
EMウェルネス リゾートゴルフコース,em-wellness-resort-golf-course,golf_course,published,中部,〒901-2305 沖縄県中頭郡北中城村字喜舎場1478,098-935-1500,https://www.emwellness-resort.com/,9H ホテル併設,車で約40分,,北中城村,ミドルコース,9,,,9H ホテル併設
沖縄ロイヤルゴルフクラブ,okinawa-royal-golf-club,golf_course,published,中部,〒904-1113 沖縄県うるま市石川山城1436,098-964-2811,https://okinawaroyal.jp/,36H（18H×2コース）,車で約50分,,うるま市,ロングコース,36,,,36H（18H×2コース）
具志川ゴルフクラブ,gushikawa-golf-club,golf_course,published,中部,〒904-2205 沖縄県うるま市字栄野比50-1,098-974-3223,,18H Par63,車で約50分,,うるま市,ミドルコース,18,63,,18H Par63
パブリックゴルフうらそえ,public-golf-urasoe,golf_course,published,中部,〒901-2101 沖縄県浦添市西原5丁目51-1,098-877-3513,,9H ショートコース,車で約25分,,浦添市,ショートコース,9,,,9H ショートコース
西原グリーンセンター,nishihara-green-center,golf_course,published,中部,〒903-0104 沖縄県中頭郡西原町字内間546,098-945-5456,,9H Par27 全Par3 レンジ24時間営業,車で約25〜30分,,西原町,ショートコース,9,27,,9H Par27 全Par3 レンジ24時間営業
クイーンズトラップゴルフコース,queens-trap-golf-course,golf_course,published,中部,〒904-0300 沖縄県中頭郡読谷村字牧原254,098-921-5577,,9H Par36（2周で18H）Par4あり,車で約50分,,読谷村,ミドルコース,9,36,,9H Par36（2周で18H）Par4あり
残波ゴルフクラブ,zanpa-golf-club,golf_course,published,中部,〒904-0301 沖縄県中頭郡読谷村字宇座1133,098-958-1938,,18H Par63,車で約50分,,読谷村,ミドルコース,18,63,,18H Par63
TAIYO GOLF CLUB（タイヨーゴルフクラブ）,taiyo-golf-club,golf_course,published,中部,沖縄県沖縄市池原（キャンプ・フォスター内）,098-954-2004,https://www.mccsokinawa.com/,18H Par72 米軍基地内・民間人利用可,車で約40分,,沖縄市,ロングコース,18,72,,18H Par72 米軍基地内・民間人利用可
知花ゴルフコース（チバナ）,chibana-golf-course,golf_course,published,中部,〒904-2144 沖縄県沖縄市知花4-1-3,098-938-6063,https://www.mccsokinawa.com/,9H Par3のみ 米軍基地内・民間人利用可,車で約40分,,沖縄市,ショートコース,9,3,,9H Par3のみ 米軍基地内・民間人利用可
カデナ バンヤンツリーゴルフコース,kadena-banyan-tree-golf-course,golf_course,published,中部,沖縄県中頭郡嘉手納町（嘉手納空軍基地内）,,https://www.mccsokinawa.com/,18H Par72 米軍基地内・エスコート要 1960年開場（沖縄最古）,車で約40分,,嘉手納町,ロングコース,18,72,,18H Par72 米軍基地内・エスコート要 1960年開場（沖縄最古）
PGMゴルフリゾート沖縄【GRAND PGM】,pgm-golf-resort-okinawa,golf_course,published,北部,〒904-0413 沖縄県国頭郡恩納村字冨着1043,098-965-1100,https://www.pacificgolf.co.jp/okinawa/,27H Par108 HEIWA・PGM CHAMPIONSHIP開催,車で約60分,,恩納村,ロングコース,27,108,,27H Par108 HEIWA・PGM CHAMPIONSHIP開催
ジ・アッタテラス ゴルフリゾート,atta-terrace-golf-resort,golf_course,published,北部,〒904-0402 沖縄県国頭郡恩納村安富祖1079,098-967-8554,https://www.terrace.co.jp/atta/,18H Par72,車で約60分,,恩納村,ロングコース,18,72,,18H Par72
美らオーチャードゴルフ倶楽部,chura-orchard-golf-club,golf_course,published,北部,〒904-0402 沖縄県国頭郡恩納村字安富祖1577,098-967-8711,https://www.jgmgroup.co.jp/churaorchard/,18H Par72 大京オープン17回開催,車で約65〜70分,,恩納村,ロングコース,18,72,,18H Par72 大京オープン17回開催
宜野座カントリークラブ,ginoza-country-club,golf_course,published,北部,〒904-1301 沖縄県国頭郡宜野座村字松田2824-264,098-983-2200,https://www.ginozacc.com/,18H Par72,車で約55分,,宜野座村,ロングコース,18,72,,18H Par72
かねひで喜瀬カントリークラブ,kise-country-club,golf_course,published,北部,〒905-0026 沖縄県名護市字喜瀬1107-1,0980-53-6100,https://www.kise-cc.jp/,18H Par72,車で約80〜90分,,名護市,ロングコース,18,72,,18H Par72
カヌチャリゾート カヌチャゴルフコース,kanucha-golf-course,golf_course,published,北部,〒905-0225 沖縄県名護市安部156-2,0980-55-8888,https://www.kanucha.jp/,18H Par72,車で約90分,,名護市,ロングコース,18,72,,18H Par72
ベルビーチゴルフクラブ,belle-beach-golf-club,golf_course,published,北部,〒905-0225 沖縄県国頭郡本部町字崎本部5151,0980-47-3111,http://www.belle-co.com/belbeach/,18H Par72 宮里3兄弟が練習したコース,車で約90分,,本部町,ロングコース,18,72,,18H Par72 宮里3兄弟が練習したコース
本部グリーンパークゴルフ場,motobu-green-park-golf-course,golf_course,published,北部,〒905-0213 沖縄県国頭郡本部町字古島404,0980-48-3211,,18H Par57,車で約90分,,本部町,ミドルコース,18,57,,18H Par57
金武シーサイドゴルフクラブ,kin-seaside-golf-club,golf_course,published,北部,〒904-1202 沖縄県国頭郡金武町字伊芸1996-3,098-968-8455,,9H ショートコース,車で約55分,,金武町,ショートコース,9,,,9H ショートコース
エナジック瀬嵩カントリークラブ,enagic-sedake-country-club,golf_course,published,北部,〒905-2262 沖縄県名護市瀬嵩463-3,0980-55-8368,https://www.enagicsedakecc.com/,18H Par73 2025年8月より一般開放,車で約90〜100分,,名護市,ロングコース,18,73,,18H Par73 2025年8月より一般開放
伊江島カントリークラブ,iejima-country-club,golf_course,published,離島,〒905-0502 沖縄県国頭郡伊江村字東江前3682-1,0980-49-2028,,18H Par58（第1日曜・隔週土曜はPar72のロング形式）,本部港フェリー約30分＋車 計約120分以上,,伊江村,ミドルコース,18,58,,18H Par58（第1日曜・隔週土曜はPar72のロング形式）
エメラルドコーストゴルフリンクス,emerald-coast-golf-links,golf_course,published,離島,〒906-0305 沖縄県宮古島市下地字与那覇1591-1,0980-76-3232,https://www.emeraldcoast.jp/,18H Par72,飛行機約45分＋車約15分,,宮古島市,ロングコース,18,72,,18H Par72
シギラベイカントリークラブ,shigira-bay-country-club,golf_course,published,離島,〒906-0202 沖縄県宮古島市上野字新里1264,0980-76-3940,https://sigira.com/sports/golf/,18H Par72,飛行機約45分＋車約15分,,宮古島市,ロングコース,18,72,,18H Par72
